region	S_AFR	singletons_AFR	pi_AFR	tajimasd_AFR	meanrsq_AFR	S_EUR	singletons_EUR	pi_EUR	tajimasd_EUR	meanrsq_EUR	S_EAS	singletons_EAS	pi_EAS	tajimasd_EAS	meanrsq_EAS	S_SAS	singletons_SAS	pi_SAS	tajimasd_SAS	meanrsq_SAS	Fst_AFR_EUR	Fst_AFR_EAS	Fst_AFR_SAS	Fst_EUR_EAS	Fst_EUR_SAS	Fst_EAS_SAS
71	0.008241758241758242	0.0017434488588334743	0.0010934117728338738	-0.5775636544876315	0.04922517748331651	0.009087066779374472	0.004543533389687236	0.001028494032473207	-0.3723994050508638	0.04342139472327458	0.004332206255283178	0.0011094674556213018	0.0009752161214567956	0.8168920734329651	0.1579203448178854	0.009456889264581572	0.0036453930684699916	0.001043809047007191	-0.4764138647553793	0.03451373549174226	0.1473448021994024	0.1277544331862941	0.1311238027611517	0.0193008401399039	0.0385114673277249	0.0101204688048843
72	0.009850060194812302	0.0018240852212615373	0.0019170300466463954	0.474174939865029	0.10669906347323056	0.010616175987742147	0.0038670606690744593	0.0010296396030959431	-0.7626850998243369	0.08776447435628919	0.006566706796541534	0.0012038962460326147	0.0016822373455223187	1.3293950509731354	0.2609689513393696	0.011126919849695377	0.003319835102695998	0.0008784223061930254	-0.972937226827172	0.08575640208966555	0.1956906796357532	0.0342169593571845	0.2554412873667505	0.1361607475725841	0.0	0.1729707060682565
73	0.008976660682226212	0.002194294833433074	0.0014694774836173706	0.00527828041783233	0.08478979158648085	0.0088436731165636	0.003457676707227874	0.0010425888285346726	-0.2249106411233945	0.07682221617170235	0.004455083449697453	0.000731431611144358	0.0010094280079275618	0.9755013344650441	0.28834032138819005	0.009508610944876653	0.004122614535540927	0.0011593021856083012	-0.16613754669043862	0.060788207089425374	0.1544283812512829	0.1078462456928616	0.0969308036405253	0.0062755005410891	0.005554246002769	0.0249620285039227
74	0.008001412013884802	0.0018826851797376007	0.0007620142442381902	-1.2649459386926687	0.04236603790592261	0.0068835676884156025	0.002471024298405601	0.0005993465962344804	-0.8272323410155962	0.023162875623321658	0.003235865152674001	0.0013531799729364006	0.00047813484999331116	-0.3199480106354573	0.07456273727056721	0.008825086780020003	0.0036477025357416013	0.0006991026984328289	-1.046098862152422	0.01405422663532005	0.1795696786654115	0.1819362816392961	0.1073887218199022	0.02948530055767	0.0186552010130315	0.0586034428704081
75	0.008367473618870266	0.0019863438857852266	0.0010373523842788154	-0.791130450677883	0.05246215820272134	0.008392302917442583	0.0031284916201117317	0.0007722498382619794	-0.7977067713059235	0.03387420334241688	0.004320297951582868	0.0015394165114835507	0.00044039134517638324	-1.0624387895720373	0.08785953505355273	0.009559279950341403	0.003997517070142768	0.0007728233451857471	-1.013976007909923	0.025571910969810978	0.0416916360906319	0.0820546781039279	0.0368953867226907	0.0638222984928106	0.0120894760645214	0.0737818638866198
76	0.010483922521255514	0.003196317841846193	0.0012027483620005992	-0.9585757869186893	0.045308448125442824	0.010611775234929361	0.004091286837563127	0.0008468389263891547	-1.0839373635209977	0.044531505006577064	0.005241961260627757	0.0008949689957169341	0.0006505979656214937	-0.7465594236853376	0.1264364081064034	0.01176244965799399	0.006136930256344691	0.0007894939123061089	-1.3080944575111144	0.02907300245586117	0.144339261707783	0.0807762291391219	0.1558368006073412	0.0250974860895061	0.0	0.0170670532648518
77	0.008571592935626761	0.002358626244031525	0.0011943520289821646	-0.32089990032554955	0.07229591680180487	0.009031812690559742	0.003566703100730599	0.0009375313057529999	-0.6307364963470673	0.05071700208815386	0.003911867916930334	0.0012080768566990739	0.0009149962055599502	1.1050772539279525	0.21116953586387613	0.011045274118391532	0.00448714261059656	0.001038827348287117	-0.7370342108655774	0.03749809033725069	0.270917124917637	0.2977999548404799	0.2072974623863523	0.123097229391336	0.016443378086509	0.1548122836890624
78	0.008445724761031819	0.001374885426214482	0.0016343647832478929	0.4395130089937798	0.09907261965789087	0.009624197983501375	0.004190127013225089	0.0005685033754261829	-1.312467600503333	0.07174929817283121	0.0026843001178473223	0.0005237658766531361	0.0008551977851184807	1.6020572662342114	0.3778851725369874	0.008969490637684955	0.0034044781982453844	0.000997032378993031	-0.36932746933562827	0.07104549970520045	0.3123801890604223	0.0997233598794128	0.1448044821208459	0.3021017374578948	0.0235844567112639	0.1378981358077988
79	0.007474758743794277	0.0023428348301444747	0.0007502181997788693	-1.0887826394677933	0.0474983963740719	0.00792101299715513	0.003793161153567245	0.0003805553978401871	-1.4826762441443793	0.030768730662717757	0.0032353433368661794	0.0010598538517320242	0.0005111438463729522	-0.13973238150127737	0.09655048629030744	0.008423049032186087	0.0034584704635466056	0.0003867609486323251	-1.5977419879870134	0.024833248982336457	0.2205297139023129	0.1070249194842079	0.2261897170803621	0.2795860474820044	0.0012266594752463	0.2583398299998832
80	0.00832639467110741	0.0021093533166805438	0.0010169190649078395	-0.876584497170517	0.05031471070889931	0.008825978351373855	0.004551762420205384	0.0009918185021626966	-0.4099414691515417	0.03248868962228289	0.0038856508465167916	0.0008881487649181238	0.0005194121130116494	-0.5884793100910094	0.12326644707254565	0.007549264501804052	0.0036636136552872607	0.0008759865246672335	-0.3725072804022856	0.033676319490149126	0.0318868980089928	0.0758804690407025	0.0172765258549963	0.1415519068071451	0.0049858474561441	0.0917927931537136
